Topic,Count,Name,Representation,Representative_Docs
0,1960,0_wifi_internet_free_wi,"['wifi', 'internet', 'free', 'wi', 'fi', 'wi fi', 'free wifi', 'connection', 'slow', 'wifi connection', 'work', 'poor', 'signal', 'wifi room', 'internet connection']","['really small swimming pool not clean i had a lot of problems with wifi free wifi is acceptable up to 1mbit speed but when i upgraded to enhanced i had a lot of problems reseting the wifi', 'i could not make the wifi work', 'poor wifi and cost of wifi poorpoor']"
1,1748,1_air_conditioning_air conditioning_heating,"['air', 'conditioning', 'air conditioning', 'heating', 'hot', 'warm', 'temperature', 'cold', 'open', 'ac', 'window', 'working', 'windows', 'fan', 'work']","['air conditioning was smelly not good', 'the room was too hot and because there were no windows to open it was hard to cool down better air conditioning would help', 'i can t open windows air conditioning bad working']"
2,1589,2_tea_coffee_tea coffee_kettle,"['tea', 'coffee', 'tea coffee', 'kettle', 'facilities', 'making facilities', 'making', 'milk', 'coffee making', 'facilities room', 'machine', 'coffee tea', 'coffee facilities', 'coffee machine', 'coffee room']","['would have liked tea coffee making facilities in the room', 'that there was no tea coffee making facilities in the room i had to buy a kettle', 'no tea or coffee making facilities noisy']"
3,940,3_lift_stairs_elevator_lifts,"['lift', 'stairs', 'elevator', 'lifts', 'floor', 'elevators', 'luggage', 'slow', 'carry', 'working', 'small', 'use', 'steps', 'floor lift', 'narrow']","['the lift was out of order for 2 days and there is only one main lift so we used the service lift which was very small', '1 by check in the lifts were out of service 2 the stairs were too narrow', 'not enough lifts and stairs not close']"
4,823,4_parking_car_park_car park,"['parking', 'car', 'park', 'car park', 'car parking', 'garage', 'spaces', 'park car', 'hotel parking', 'expensive', 'parking expensive', 'free parking', 'hotel', 'valet', 'free']","['parking was full and had to park outside the covered parking', 'hotel advertised parking but actually has no parking but multistorey car park behind', 'shame that our car was too big for the parking we booked so we had to park in a secure public car park close by']"
5,661,5_restaurant_food_menu_dinner,"['restaurant', 'food', 'menu', 'dinner', 'restaurants', 'meal', 'room service', 'evening', 'service', 'eat', 'ordered', 'steak', 'evening meal', 'limited', 'quality']","['the restaurant and bar areas are lovely but the restaurant menu was somewhat limited and more to sharing platters than to plated meals although plated meals were offered on the room service menu a menu which was oddly enough not available in the restaurant a somewhat more conventional restaurant or cafe menu would be appreciated and while the room was very well equipped there was no outlet in the bathroom for the hair dryer so the hairdryer had to be used in the bedroom which was a bit awkward', 'the restaurant dinner menu was very limited and needs more variety food we wanted was not available', 'food for evening meal in the restaurant could have been better']"
6,637,6_tv_channels_tv channels_english,"['tv', 'channels', 'tv channels', 'english', 'remote', 'watch', 'television', 'work', 'news', 'channel', 'didn work', 'tv didn', 'tv room', 'did work', 'room tv']","['selection of english speaking tv channels limited to news', 'there are no tv channels or subtitles in english except for the news channel', 'more tv channels in english there were only news channels available in english and no pay tv']"
7,628,7_light_dark_lighting_lights,"['light', 'dark', 'lighting', 'lights', 'natural', 'natural light', 'room dark', 'lighting room', 'light room', 'bright', 'curtains', 'window', 'room', 'bathroom', 'lights room']","['the room i was in was like a prison cell room 103 a little horizontal window at the top of the wall which you only get a little bit of natural light through the room was very dark lights were too dull', 'could not work the lighting it was all lights on or off', 'the room was very dark difficult to make up because of lack of light']"
8,593,8_pool_swimming_swimming pool_pool area,"['pool', 'swimming', 'swimming pool', 'pool area', 'swim', 'pool small', 'use pool', 'use', 'area', 'roof', 'sun', 'children', 'heated', 'spa', 'roof pool']","['we have only one problem swimming pool we choose this hotel for pool and sun but unfortunately the swimming pool was too cold and nobody can swim we noticed each day but they did not matter about our problem also there was some trashes in the swimming pool', 'swimming pool was not available for two days', 'very crowded water of swimming pool wasn t clean swimming pool area too crowded i booked the hotel because it had a swimming pool but we didn t had the chance to enjoy it']"
9,559,9_decor_old_refurbishment_renovation,"['decor', 'old', 'refurbishment', 'renovation', 'dated', 'furniture', 'needs', 'need', 'tired', 'rooms', 'decoration', 'need refurbishment', 'lobby', 'little', 'bit']","['while the room furniture and decor is a little dated it didn t tarnish our stay', 'old furniture hotel need renovation this is more 3 star hotel', 'room could do with refurbishment looking a little tired']"
