Topic_ID,Label,Top_Words,Word_Probabilities,Document_Count
0,Location and Accessibility,"make, staff, feel, amazing, love, birthday, lovely, welcome, special, like","[('make', np.float32(0.03530652)), ('staff', np.float32(0.029853297)), ('feel', np.float32(0.023528103)), ('amazing', np.float32(0.020051416)), ('love', np.float32(0.017834263)), ('birthday', np.float32(0.016742906)), ('lovely', np.float32(0.015283815)), ('welcome', np.float32(0.012605296)), ('special', np.float32(0.012083909)), ('like', np.float32(0.011806248)), ('really', np.float32(0.011041041)), ('everything', np.float32(0.010148172)), ('service', np.float32(0.009919167)), ('absolutely', np.float32(0.009275671)), ('home', np.float32(0.008935124)), ('experience', np.float32(0.008906328)), ('great', np.float32(0.008690608)), ('upgrade', np.float32(0.008634745)), ('thank', np.float32(0.008556145)), ('touch', np.float32(0.008462974))]",3100
1,Staff Friendliness,"coffee, free, bar, drink, tea, staff, water, upgrade, lounge, nice","[('coffee', np.float32(0.042832855)), ('free', np.float32(0.036881186)), ('bar', np.float32(0.030372238)), ('drink', np.float32(0.02462283)), ('tea', np.float32(0.024498846)), ('staff', np.float32(0.020240765)), ('water', np.float32(0.018895792)), ('upgrade', np.float32(0.018590592)), ('lounge', np.float32(0.017168975)), ('nice', np.float32(0.015813258)), ('breakfast', np.float32(0.015773756)), ('lovely', np.float32(0.014935136)), ('complimentary', np.float32(0.014132089)), ('machine', np.float32(0.013082744)), ('day', np.float32(0.011858442)), ('much', np.float32(0.011154126)), ('excellent', np.float32(0.011037075)), ('great', np.float32(0.01066639)), ('suite', np.float32(0.010277332)), ('fresh', np.float32(0.009388708))]",2155
2,Room Comfort,"station, close, location, walk, metro, tube, near, restaurant, train, minute","[('station', np.float32(0.07451143)), ('close', np.float32(0.051413666)), ('location', np.float32(0.047299705)), ('walk', np.float32(0.035903383)), ('metro', np.float32(0.034711547)), ('tube', np.float32(0.026856208)), ('near', np.float32(0.02603762)), ('restaurant', np.float32(0.02117159)), ('train', np.float32(0.019291244)), ('minute', np.float32(0.018525565)), ('bus', np.float32(0.018221669)), ('good', np.float32(0.016516399)), ('great', np.float32(0.015892813)), ('min', np.float32(0.0152045395)), ('stop', np.float32(0.015069593)), ('right', np.float32(0.013806919)), ('shop', np.float32(0.012704524)), ('park', np.float32(0.011907426)), ('underground', np.float32(0.0118152285)), ('nice', np.float32(0.011535932))]",5607
3,Cleanliness,"good, location, easy, value, great, money, central, london, access, city","[('good', np.float32(0.07613654)), ('location', np.float32(0.06773957)), ('easy', np.float32(0.046831083)), ('value', np.float32(0.04173983)), ('great', np.float32(0.03630978)), ('money', np.float32(0.03149644)), ('central', np.float32(0.030372884)), ('london', np.float32(0.028680224)), ('access', np.float32(0.02844096)), ('city', np.float32(0.027121974)), ('clean', np.float32(0.021297911)), ('staff', np.float32(0.02029254)), ('centre', np.float32(0.018218728)), ('breakfast', np.float32(0.017665867)), ('get', np.float32(0.017533788)), ('excellent', np.float32(0.01480808)), ('nice', np.float32(0.014305967)), ('public', np.float32(0.013141687)), ('transport', np.float32(0.012534481)), ('price', np.float32(0.01238265))]",3157
4,Breakfast Quality,"not, good, small, one, like, well, get, bit, nice, price","[('not', np.float32(0.04959535)), ('good', np.float32(0.019033432)), ('small', np.float32(0.018242478)), ('one', np.float32(0.016321667)), ('like', np.float32(0.012526936)), ('well', np.float32(0.011851696)), ('get', np.float32(0.011848809)), ('bit', np.float32(0.011551909)), ('nice', np.float32(0.0113806)), ('price', np.float32(0.011294489)), ('book', np.float32(0.011144293)), ('everything', np.float32(0.011109122)), ('would', np.float32(0.0109450165)), ('could', np.float32(0.010565988)), ('need', np.float32(0.0103392275)), ('little', np.float32(0.00963553)), ('look', np.float32(0.008940645)), ('location', np.float32(0.008321964)), ('much', np.float32(0.008195449)), ('expect', np.float32(0.007871703))]",2779
5,Facilities and Amenities,"visit, paris, well, locate, back, come, next, time, location, definitely","[('visit', np.float32(0.03774647)), ('paris', np.float32(0.032654304)), ('well', np.float32(0.03088973)), ('locate', np.float32(0.027630165)), ('back', np.float32(0.02755327)), ('come', np.float32(0.022450073)), ('next', np.float32(0.019395346)), ('time', np.float32(0.016686372)), ('location', np.float32(0.013936932)), ('definitely', np.float32(0.013866781)), ('place', np.float32(0.013764851)), ('want', np.float32(0.01374847)), ('perfect', np.float32(0.012993796)), ('see', np.float32(0.011601433)), ('staff', np.float32(0.010648647)), ('trip', np.float32(0.010604283)), ('would', np.float32(0.010398348)), ('wonderful', np.float32(0.009334661)), ('amsterdam', np.float32(0.00865171)), ('everything', np.float32(0.007959313))]",1080
6,Value for Money,"distance, location, walking, within, walk, attraction, garden, close, square, main","[('distance', np.float32(0.053968366)), ('location', np.float32(0.049954783)), ('walking', np.float32(0.036098655)), ('within', np.float32(0.034511346)), ('walk', np.float32(0.030990636)), ('attraction', np.float32(0.022014642)), ('garden', np.float32(0.020453151)), ('close', np.float32(0.018470963)), ('square', np.float32(0.016960802)), ('main', np.float32(0.013775768)), ('restaurant', np.float32(0.013335738)), ('quiet', np.float32(0.0128134135)), ('right', np.float32(0.01236505)), ('london', np.float32(0.012203169)), ('short', np.float32(0.012145367)), ('perfect', np.float32(0.01157698)), ('area', np.float32(0.011139599)), ('theatre', np.float32(0.010703435)), ('end', np.float32(0.010314837)), ('excellent', np.float32(0.010207313))]",1275
7,View and Atmosphere,"view, floor, tower, nice, great, location, london, window, eiffel, lot","[('view', np.float32(0.058671255)), ('floor', np.float32(0.028008364)), ('tower', np.float32(0.026876574)), ('nice', np.float32(0.020407151)), ('great', np.float32(0.016931089)), ('location', np.float32(0.016617354)), ('london', np.float32(0.016365193)), ('window', np.float32(0.014386445)), ('eiffel', np.float32(0.013335578)), ('lot', np.float32(0.01283775)), ('little', np.float32(0.012315906)), ('balcony', np.float32(0.012247138)), ('street', np.float32(0.01205818)), ('bar', np.float32(0.010515918)), ('noise', np.float32(0.010162713)), ('quiet', np.float32(0.01013323)), ('also', np.float32(0.00970146)), ('top', np.float32(0.009494717)), ('like', np.float32(0.009470436)), ('light', np.float32(0.008485524))]",1352
8,Modern and Well-equipped,"check, day, time, early, staff, get, not, give, arrive, leave","[('check', np.float32(0.048307672)), ('day', np.float32(0.017141674)), ('time', np.float32(0.016075317)), ('early', np.float32(0.014900304)), ('staff', np.float32(0.014179654)), ('get', np.float32(0.013739425)), ('not', np.float32(0.012594079)), ('give', np.float32(0.012174869)), ('arrive', np.float32(0.012164477)), ('leave', np.float32(0.0117027555)), ('even', np.float32(0.01099724)), ('could', np.float32(0.009330964)), ('service', np.float32(0.0092195)), ('one', np.float32(0.008860763)), ('book', np.float32(0.008791406)), ('late', np.float32(0.008766352)), ('take', np.float32(0.008677315)), ('luggage', np.float32(0.008171927)), ('first', np.float32(0.008084623)), ('ask', np.float32(0.0077032526))]",2419
9,Overall Experience,"bed, comfortable, clean, staff, comfy, well, friendly, helpful, nice, quiet","[('bed', np.float32(0.12338219)), ('comfortable', np.float32(0.09348565)), ('clean', np.float32(0.05738602)), ('staff', np.float32(0.05606495)), ('comfy', np.float32(0.044951692)), ('well', np.float32(0.0342751)), ('friendly', np.float32(0.029821005)), ('helpful', np.float32(0.029485289)), ('nice', np.float32(0.023787096)), ('quiet', np.float32(0.023149844)), ('bathroom', np.float32(0.02261843)), ('lovely', np.float32(0.02043109)), ('spacious', np.float32(0.019131744)), ('really', np.float32(0.017580599)), ('large', np.float32(0.014683372)), ('excellent', np.float32(0.01350065)), ('location', np.float32(0.010188716)), ('modern', np.float32(0.009997876)), ('extremely', np.float32(0.009552054)), ('small', np.float32(0.009000969))]",4651
