Topic,Count,Name,Representation,Representative_Docs
0,1369,0_breakfast_hotel_food_good,"['breakfast', 'hotel', 'food', 'good', 'excellent', 'breakfast good', 'hotel staff', 'staff', 'great', 'hotel good', 'nice', 'lovely', 'breakfast hotel', 'friendly', 'clean']","['lovely hotel and good location good breakfast and lovely helpful staff', 'location was great hotel was clean breakfast was good', 'great location good breakfast excellent hotel']"
1,1199,1_staff_helpful_help_friendly,"['staff', 'helpful', 'help', 'friendly', 'feel', 'service', 'welcome', 'trouble', 'especially', 'staff helpful', 'extremely', 'stay', 'concierge', 'polite', 'professional']","['very friendly staff very happy to help made us feel very welcome', 'the staff the staff especially massimio was incredible they made me feel very welcome', 'helen was very helpful some of staff not too friendly']"
2,772,2_wifi_free wifi_free_good wifi,"['wifi', 'free wifi', 'free', 'good wifi', 'wi', 'wi fi', 'fi', 'fast', 'wifi good', 'internet', 'phone', 'good', 'worked', 'connection', 'mobile']","['good free wifi perfect location', 'good location free wifi and helpful staff', 'free parking free wifi clean room']"
3,657,3_shower_bathroom_bath_room,"['shower', 'bathroom', 'bath', 'room', 'room bathroom', 'great shower', 'toilet', 'large', 'spacious', 'clean', 'nice', 'bathrooms', 'big', 'size', 'nice bathroom']","['bathroom was excellent very clean and great shower', 'very comfortable and lovely room nice bathroom with excellent shower and bath staff very helpful and friendly', 'friendly staff lovely room great shower']"
4,632,4_friendly staff_helpful staff_rooms_staff,"['friendly staff', 'helpful staff', 'rooms', 'staff', 'location friendly', 'comfortable room', 'room friendly', 'friendly', 'room', 'location', 'great location', 'staff comfortable', 'excellent location', 'helpful', 'staff great']","['great location comfortable room friendly and helpful staff', 'good location friendly and helpful staff comfortable room', 'great location friendly and helpful staff comfortable room']"
5,620,5_paris_paris hotel_parisian_paris staff,"['paris', 'paris hotel', 'parisian', 'paris staff', 'hotel', 'metro', 'small', 'stay', 'stay paris', 'restaurants', 'central paris', 'rooms', 'best', 'place', 'hotels']","['friendly staff easy place to get around paris', 'location is very central to major paris sights staff are welcoming friendly and helpful room was compact but comfortable had everything necessary for a few days in paris a great base from which to enjoy paris', 'a place i m happy to call home when i m in paris']"
6,581,6_birthday_cake_anniversary_card,"['birthday', 'cake', 'anniversary', 'card', 'bottle', 'champagne', 'special', 'wedding', 'chocolates', 'wedding anniversary', 'surprise', 'touch', 'birthday cake', 'lovely', 'left']","['visiting to celebrate an 18th birthday and made to feel very special room upgrade birthday cake and message lovely touch', 'the staff were extremely helpful and friendly the even produced a small birthday cake for my husband with 2 spoons because they overheard me wishing him a happy birthday', 'i arrived to spend my birthday night with my sister the staff gave me a lovely surprise of cake and sweets plus a lovely birthday message with a balloon which made it even more of a special big birthday']"
7,581,7_location friendly_helpful staff_location_great location,"['location friendly', 'helpful staff', 'location', 'great location', 'friendly', 'friendly helpful', 'helpful', 'staff', 'staff great', 'location great', 'location staff', 'friendly staff', 'excellent location', 'staff location', 'great']","['great location very friendly and helpful staff', 'great location friendly helpful staff', 'great location and friendly helpful staff']"
8,579,8_amsterdam_tram_hotel_central,"['amsterdam', 'tram', 'hotel', 'central', 'centre', 'train', 'stop', 'stay', 'city', 'station', 'away', 'easy', 'walk', 'central station', 'minutes']","['location is of course the best in amsterdam only andaz can compete here', 'upgrade naar new amsterdam suite', 'location was close to amsterdam via bus']"
9,556,9_tube_tube station_close tube_station,"['tube', 'tube station', 'close tube', 'station', 'near tube', 'location tube', 'walk tube', 'close', 'access tube', 'tube stations', 'near', 'restaurants', 'location', 'walk', 'stations']","['very helpful staff good location close to tube station', 'excellent location close to tube station', 'easy to find right close to tube station']"
10,536,10_barcelona_hotel_pool_metro,"['barcelona', 'hotel', 'pool', 'metro', 'city', 'roof', 'stay', 'best', 'airport', 'rooftop', 'la', 'recommend', 'great', 'time', 'bus']","['very well located in diwntown barcelona nice hotel with very good restaurant staff was very good and helped us with great ideas and info on what to do in barcelona', 'right next to barcelona santa station', 'everything is perfect in mandarin orental barcelona']"
11,519,11_pool_swimming_swimming pool_pool area,"['pool', 'swimming', 'swimming pool', 'pool area', 'rooftop', 'rooftop pool', 'roof pool', 'roof', 'pool great', 'pool bar', 'area', 'pool nice', 'nice pool', 'gym', 'bar']","['everything staff location rooftop pool', 'big swimming pool but water cold', 'excellent location swimming pool area very nice room very clean']"
12,498,12_bed_bed comfortable_comfortable_hotel,"['bed', 'bed comfortable', 'comfortable', 'hotel', 'comfy', 'beds', 'comfortable bed', 'slept', 'hotel bed', 'comfy bed', 'really', 'sleep', 'comfortable hotel', 'bed comfy', 'room']","['the bed was very comfy the hotel very clean and the staff extremely friendly and helpful', 'excellent hotel bed we so comfortable location great and very clean and friendly', 'the bed was the most comfortable hotel bed i have ever slept on i had the best night s sleep the area around the hotel was very pleasant and lots of lovely cafes within a very short walking distance metro stop just outside very useful lovely rooftop pool and deck with stunning views it was spotlessly clean food was delicious rooms were large and so were the beds']"
13,455,13_london_london hotel_hotel_central london,"['london', 'london hotel', 'hotel', 'central london', 'hotels', 'stay', 'stayed', 'best', 'hotel london', 'central', 'time', 've', 'definitely', 'price', 'recommend']","['excellent price for a good quality central london hotel', 'value for money it is the best hotel in london so far', 'good value for money for a central london hotel']"
14,439,14_vienna_hotel_center_centre,"['vienna', 'hotel', 'center', 'centre', 'city', 'breakfast', 'stay', 'just', 'walk', 'minutes', 'old', 'bahn', 'located', 'close', 'time']","['comfortable hotel and good location to central vienna', 'the location is very good in the middle of vienna the room is very qualit did chekin early', 'close to schottentor u2 and easy to reach every place in vienna']"
15,437,15_room_location_rooms_small,"['room', 'location', 'rooms', 'small', 'good location', 'clean', 'comfortable', 'location good', 'good', 'size', 'great location', 'value', 'location great', 'price', 'money']","['good location comfortable room good value would use again', 'good location and comfortable room with a good value for money', 'great location nice room good value for money']"
16,412,16_bed_comfy_comfy bed_comfortable bed,"['bed', 'comfy', 'comfy bed', 'comfortable bed', 'beds', 'bed good', 'comfy beds', 'comfortable', 'location comfy', 'bed great', 'bed comfy', 'location', 'good location', 'comfortable beds', 'bed excellent']","['big room comfortable bed good location', 'comfy bed and good value for cost', 'big comfy bed good location']"
17,405,17_coffee_tea_machine_nespresso,"['coffee', 'tea', 'machine', 'nespresso', 'tea coffee', 'coffee machine', 'nespresso machine', 'machine room', 'coffee tea', 'water', 'kettle', 'free', 'fridge', 'free coffee', 'room']","['coffee machine was a bonus coffee was great staff were lovely', 'free coffee tea and buscuits in receoption', 'perfect location good breakfast and helpful staff coffee tea machine in reception']"
18,399,18_helpful room_room_staff friendly_staff,"['helpful room', 'room', 'staff friendly', 'staff', 'helpful', 'friendly', 'clean', 'room clean', 'clean staff', 'friendly helpful', 'friendly room', 'comfortable staff', 'room staff', 'staff really', 'staff helpful']","['the staff were so friendly and helpful room s were very nice and clean', 'staff were really friendly and helpful room was clean and comfortable', 'staff very friendly and helpful and the room was clean and comfortable']"
19,377,19_staff clean_clean_clean room_clean rooms,"['staff clean', 'clean', 'clean room', 'clean rooms', 'rooms', 'friendly staff', 'cleanliness', 'location clean', 'staff', 'friendly', 'clean comfortable', 'helpful staff', 'room', 'helpful', 'rooms clean']","['great location helpful staff and clean rooms', 'friendly staff clean room good location', 'good location friendly staff clean rooms']"
20,366,20_helpful location_friendly location_helpful_location,"['helpful location', 'friendly location', 'helpful', 'location', 'staff friendly', 'staff', 'location staff', 'great staff', 'perfect staff', 'friendly', 'friendly helpful', 'location great', 'location perfect', 'good staff', 'staff extremely']","['staff very friendly and helpful and location was good', 'staff was very friendly and helpful location is great', 'the staff were very friendly and helpful and the location was great']"
21,358,21_breakfast_good breakfast_staff good_breakfast friendly,"['breakfast', 'good breakfast', 'staff good', 'breakfast friendly', 'friendly staff', 'location friendly', 'great breakfast', 'excellent breakfast', 'location', 'staff great', 'great location', 'breakfast great', 'helpful staff', 'friendly', 'staff']","['great location friendly staff very good breakfast', 'great location friendly staff and good breakfast', 'great location friendly staff good breakfast']"
22,358,22_hotel staff_hotel_staff_staff friendly,"['hotel staff', 'hotel', 'staff', 'staff friendly', 'helpful hotel', 'friendly', 'helpful', 'staff hotel', 'friendly helpful', 'polite', 'hotel great', 'trouble', 'great hotel', 'really', 'friendly hotel']","['staff were really friendly and helpful hotel was amazing', 'the staff were really helpful and the hotel was in a great location', 'staff were very friendly and helpful the hotel is in a great location']"
23,346,23_paddington_heathrow_station_express,"['paddington', 'heathrow', 'station', 'express', 'hyde park', 'hyde', 'park', 'walk', 'lancaster', 'gate', 'lancaster gate', 'underground', 'close', 'minutes', 'london']","['great location next to paddington station where the heathrow express is located', 'location for paddington and hyde park is fantastic', 'convenient for paddington station and heathrow express']"
24,322,24_tram_tram stop_stop_city,"['tram', 'tram stop', 'stop', 'city', 'centre', 'tram station', 'outside', 'trams', 'easy', 'close tram', 'city centre', 'center', 'right', 'outside hotel', 'tram stops']","['lovely hotel great location with tram stop right outside', 'tram stop not far away i', 'right outside the tram stop short walk to museumpleun']"
25,309,25_beautiful hotel_hotel_lovely hotel_hotel great,"['beautiful hotel', 'hotel', 'lovely hotel', 'hotel great', 'beautiful', 'staff', 'great location', 'friendly staff', 'location friendly', 'location', 'hotel friendly', 'nice hotel', 'great', 'great hotel', 'lovely']","['lovely hotel great staff great location', 'beautiful hotel great staff good location', 'beautiful hotel great location staff very friendly']"
26,303,26_london_central london_central_london good,"['london', 'central london', 'central', 'london good', 'london location', 'tube', 'location london', 'eye', 'london eye', 'location', 'london great', 'value', 'access', 'london excellent', 'easy']","['it s location is perfect for seeing central london', 'great staff good location to get into central london and out again', 'close to every thing in central london']"
27,292,27_milan_milan central_duomo_central,"['milan', 'milan central', 'duomo', 'central', 'station', 'hotel', 'central station', 'train', 'metro', 'minutes', 'best', 'train station', 'just', 'rooms', 'breakfast']","['location next to train station and central milan made it excellent to explore milan than take bus from train station the next day to airport also since we came in on train was easy to find', 'location if you are in milan for shopping overall quality', 'so close from milan station and recepcion was very kind']"
28,283,28_bar_cocktails_lounge_cocktail,"['bar', 'cocktails', 'lounge', 'cocktail', 'cocktail bar', 'mini bar', 'sky', 'mini', 'bar great', 'sky lounge', 'lobby', 'bar area', 'great', 'great bar', 'area']","['nice cocktail bar and facilities excellent location', 'check in was awesome loved the lounge and bar area', 'location and friendly staff also freddy s bar was excellent for cocktails']"
29,282,29_breakfast_eggs_cooked_choice,"['breakfast', 'eggs', 'cooked', 'choice', 'fresh', 'juice', 'continental', 'breakfast good', 'variety', 'bacon', 'orange juice', 'orange', 'selection', 'delicious', 'continental breakfast']","['fresh fruit juice and excellent choice of breakfast food', 'nice breskfast omelette is cooked upon request you can make you own fresh orange juice', 'good choice for breakfast cereals cheese and ham eggs sausages fresh fruits and salads three varieties of juice coffee was really nice thanks for soya milk as well fresh pastry and bread was amazing definitelly worth the money enjoyed the coffee from nespresso coffee machine in my room']"
30,281,30_train_station_metro_train station,"['train', 'station', 'metro', 'train station', 'metro station', 'close', 'station location', 'bus', 'close metro', 'airport', 'central station', 'central', 'near', 'city', 'close train']","['great location close to the train station', 'location very close to the train train station', 'the location is wondeful next to the train station']"
31,278,31_staff clean_location clean_clean friendly_clean,"['staff clean', 'location clean', 'clean friendly', 'clean', 'cleanliness', 'friendly staff', 'staff', 'helpful staff', 'friendly', 'great location', 'clean clean', 'staff cleanliness', 'clean staff', 'location', 'good location']","['great location clean friendly staff', 'great location very clean friendly staff', 'great location clean and friendly staff']"
32,274,32_reception_reception staff_staff reception_helpful reception,"['reception', 'reception staff', 'staff reception', 'helpful reception', 'especially', 'reception area', 'helpful', 'staff', 'help', 'reception friendly', 'friendly', 'lady', 'reception desk', 'reception helpful', 'welcoming']","['great location very friendly and helpful reception staff', 'great location friendly and helpful reception staff', 'reception staff teally friendly and helpful']"
33,260,33_metro_metro station_station_breakfast,"['metro', 'metro station', 'station', 'breakfast', 'good breakfast', 'close metro', 'train', 'close', 'near', 'train station', 'good', 'near metro', 'station good', 'breakfast close', 'nice breakfast']","['friendly staff good breakfast clean room close to metro station', 'breakfast was good very close to the metro station', 'nice hotel close to metro station and good breakfast']"
34,251,34_comfy staff_bed_comfy_beds,"['comfy staff', 'bed', 'comfy', 'beds', 'bed comfortable', 'comfortable staff', 'helpful bed', 'comfortable', 'helpful', 'staff', 'friendly bed', 'staff helpful', 'extremely', 'staff friendly', 'friendly']","['bed was really comfy staff very helpful', 'bed was really comfy staff were extremely helpful', 'beds were comfy staff were friendly pate was lovely']"
35,247,35_train_station_metro_train station,"['train', 'station', 'metro', 'train station', 'hotel', 'city', 'airport', 'metro station', 'city centre', 'centre', 'center', 'minutes', 'located', 'hotel located', 'close']","['very nice hotel with clean and cozy rooms the hotel staff were extremely helpful the location is code to the city center 15 20 minutes walk but there is a metro station just outside the hotel', 'excellent hotel with luxury comfort and great breakfast very helpful staff location is very convenient to metro stop and main train station but is long walk from city centre so would advise to take the metro which is only a 5min ride', 'location of hotel was very good and close to train station']"
36,241,36_luggage_check_bags_taxi,"['luggage', 'check', 'bags', 'taxi', 'early', 'leave', 'late', 'late check', 'leave luggage', 'able', 'allowed', 'left', 'day', 'early check', 'check time']","['breakfast good and staff very helpful receptionist allowed us to leave our luggage at main reception after check out', 'it was useful to be able to leave our luggage there after checking out', 'could leave luggage behind and collect later even though we d checked out']"
