Topic_ID,Label,Top_Words,Word_Probabilities,Document_Count
0,Room Size and Space,"not, star, poor, money, value, standard, quality, small, good, breakfast","[('not', np.float32(0.09159012)), ('star', np.float32(0.06923561)), ('poor', np.float32(0.054912392)), ('money', np.float32(0.035432506)), ('value', np.float32(0.027287552)), ('standard', np.float32(0.023035128)), ('quality', np.float32(0.022794718)), ('small', np.float32(0.019476762)), ('good', np.float32(0.018697906)), ('breakfast', np.float32(0.017916914)), ('channel', np.float32(0.01541845)), ('service', np.float32(0.014244779)), ('four', np.float32(0.013084061)), ('worth', np.float32(0.012780847)), ('bad', np.float32(0.010030815)), ('like', np.float32(0.009225568)), ('english', np.float32(0.0083400225)), ('well', np.float32(0.007906621)), ('much', np.float32(0.007783044)), ('facility', np.float32(0.007464882))]",1370
1,Breakfast Quality,"bar, restaurant, service, drink, food, area, mini, expensive, bit, lounge","[('bar', np.float32(0.122192726)), ('restaurant', np.float32(0.04178591)), ('service', np.float32(0.04123753)), ('drink', np.float32(0.038437694)), ('food', np.float32(0.027926663)), ('area', np.float32(0.019478725)), ('mini', np.float32(0.019059587)), ('expensive', np.float32(0.018753542)), ('bit', np.float32(0.016283331)), ('lounge', np.float32(0.01466571)), ('little', np.float32(0.0135483965)), ('slow', np.float32(0.013386005)), ('evening', np.float32(0.0131377205)), ('serve', np.float32(0.010958181)), ('staff', np.float32(0.0105966125)), ('get', np.float32(0.010087567)), ('could', np.float32(0.009914009)), ('price', np.float32(0.009732078)), ('close', np.float32(0.008686979)), ('not', np.float32(0.008340063))]",2024
2,Noise Issues,"breakfast, not, food, good, expensive, include, egg, could, buffet, poor","[('breakfast', np.float32(0.18514347)), ('not', np.float32(0.031978942)), ('food', np.float32(0.018576361)), ('good', np.float32(0.015647944)), ('expensive', np.float32(0.01481052)), ('include', np.float32(0.014703916)), ('egg', np.float32(0.01415127)), ('could', np.float32(0.012201016)), ('buffet', np.float32(0.012160253)), ('poor', np.float32(0.011227521)), ('well', np.float32(0.011165903)), ('eat', np.float32(0.010978472)), ('choice', np.float32(0.010935663)), ('table', np.float32(0.010154479)), ('price', np.float32(0.009944385)), ('would', np.float32(0.008744481)), ('option', np.float32(0.008041081)), ('cold', np.float32(0.008040165)), ('day', np.float32(0.0076282797)), ('time', np.float32(0.007203859))]",3602
3,Staff Service,"location, far, not, walk, city, station, bit, get, taxi, good","[('location', np.float32(0.04516156)), ('far', np.float32(0.033836644)), ('not', np.float32(0.03114503)), ('walk', np.float32(0.029276656)), ('city', np.float32(0.027150368)), ('station', np.float32(0.021362117)), ('bit', np.float32(0.019987656)), ('get', np.float32(0.016300254)), ('taxi', np.float32(0.014977847)), ('good', np.float32(0.013907606)), ('close', np.float32(0.0137934)), ('minute', np.float32(0.013347257)), ('centre', np.float32(0.012937143)), ('center', np.float32(0.012502032)), ('away', np.float32(0.01223535)), ('little', np.float32(0.012215977)), ('area', np.float32(0.012051135)), ('metro', np.float32(0.011865146)), ('train', np.float32(0.011615823)), ('london', np.float32(0.011061264))]",3067
4,Bathroom and Shower,"wifi, not, work, slow, free, internet, floor, access, time, connection","[('wifi', np.float32(0.08352912)), ('not', np.float32(0.052307226)), ('work', np.float32(0.039856862)), ('slow', np.float32(0.032329068)), ('free', np.float32(0.031033814)), ('internet', np.float32(0.029722486)), ('floor', np.float32(0.021386936)), ('access', np.float32(0.016267627)), ('time', np.float32(0.014810982)), ('connection', np.float32(0.014380216)), ('lobby', np.float32(0.013378092)), ('elevator', np.float32(0.013325283)), ('well', np.float32(0.011133266)), ('use', np.float32(0.010842999)), ('lift', np.float32(0.010745769)), ('good', np.float32(0.010534308)), ('poor', np.float32(0.010136792)), ('get', np.float32(0.009853175)), ('business', np.float32(0.009462622)), ('need', np.float32(0.008895981))]",1361
5,Location and Transport,"would, iron, staff, good, experience, hair, nice, not, plug, like","[('would', np.float32(0.05546815)), ('iron', np.float32(0.024087485)), ('staff', np.float32(0.023852829)), ('good', np.float32(0.020358823)), ('experience', np.float32(0.017682632)), ('hair', np.float32(0.01744437)), ('nice', np.float32(0.016383488)), ('not', np.float32(0.013659494)), ('plug', np.float32(0.012698503)), ('like', np.float32(0.012412506)), ('lack', np.float32(0.011053243)), ('board', np.float32(0.01045847)), ('bad', np.float32(0.009987228)), ('socket', np.float32(0.009973937)), ('great', np.float32(0.009772319)), ('prefer', np.float32(0.009177632)), ('one', np.float32(0.00838522)), ('need', np.float32(0.008327167)), ('thing', np.float32(0.008177292)), ('mirror', np.float32(0.00808294))]",898
6,Cleanliness Issues,"old, not, need, look, clean, nothing, bathroom, dirty, carpet, like","[('old', np.float32(0.041552108)), ('not', np.float32(0.036173593)), ('need', np.float32(0.033703595)), ('look', np.float32(0.030225113)), ('clean', np.float32(0.02573672)), ('nothing', np.float32(0.020300502)), ('bathroom', np.float32(0.020293824)), ('dirty', np.float32(0.019927973)), ('carpet', np.float32(0.019593503)), ('like', np.float32(0.018382123)), ('bit', np.float32(0.01815356)), ('tired', np.float32(0.017355619)), ('really', np.float32(0.016650006)), ('little', np.float32(0.016600912)), ('could', np.float32(0.013638913)), ('furniture', np.float32(0.012997975)), ('smell', np.float32(0.011412699)), ('bad', np.float32(0.009887072)), ('date', np.float32(0.009624703)), ('decor', np.float32(0.009080231))]",3415
7,Price and Value,"check, not, tell, pay, ask, get, day, take, book, say","[('check', np.float32(0.030007238)), ('not', np.float32(0.027521182)), ('tell', np.float32(0.01875185)), ('pay', np.float32(0.01784729)), ('ask', np.float32(0.016957346)), ('get', np.float32(0.015040924)), ('day', np.float32(0.014790512)), ('take', np.float32(0.0145468805)), ('book', np.float32(0.014334045)), ('say', np.float32(0.012994288)), ('time', np.float32(0.01282085)), ('card', np.float32(0.012316946)), ('would', np.float32(0.01151905)), ('give', np.float32(0.009949714)), ('charge', np.float32(0.009541726)), ('one', np.float32(0.009507705)), ('back', np.float32(0.009125107)), ('reception', np.float32(0.008348946)), ('staff', np.float32(0.007969509)), ('call', np.float32(0.007818781))]",5249
8,Facilities and Amenities,"parking, not, car, day, park, time, leave, check, come, clean","[('parking', np.float32(0.037931986)), ('not', np.float32(0.030719144)), ('car', np.float32(0.024163881)), ('day', np.float32(0.020130016)), ('park', np.float32(0.018378746)), ('time', np.float32(0.01764232)), ('leave', np.float32(0.017068258)), ('check', np.float32(0.015175651)), ('come', np.float32(0.014684728)), ('clean', np.float32(0.01386589)), ('find', np.float32(0.013632359)), ('arrive', np.float32(0.011438798)), ('ready', np.float32(0.011035217)), ('smoke', np.float32(0.0106688775)), ('door', np.float32(0.0106562795)), ('smell', np.float32(0.010491153)), ('hour', np.float32(0.010115956)), ('get', np.float32(0.010019232)), ('early', np.float32(0.0098931845)), ('back', np.float32(0.009267501))]",2282
9,Check-in and Reception,"bed, small, double, not, single, two, bit, comfortable, little, uncomfortable","[('bed', np.float32(0.15066443)), ('small', np.float32(0.08574238)), ('double', np.float32(0.03389639)), ('not', np.float32(0.028901419)), ('single', np.float32(0.0244093)), ('two', np.float32(0.024073143)), ('bit', np.float32(0.021902008)), ('comfortable', np.float32(0.019991284)), ('little', np.float32(0.019869352)), ('uncomfortable', np.float32(0.01808953)), ('big', np.float32(0.014181864)), ('hard', np.float32(0.014064192)), ('twin', np.float32(0.013770851)), ('mattress', np.float32(0.01347603)), ('size', np.float32(0.012754692)), ('one', np.float32(0.012461035)), ('get', np.float32(0.01158598)), ('side', np.float32(0.011359017)), ('together', np.float32(0.011295444)), ('bathroom', np.float32(0.010786876))]",3005
